1 -90.0591 126.543
2 -90.3928 125.878
3 -90.6758 125.23
4 -90.8589 124.604
5 -90.9076 124.008
6 -90.8095 123.451
7 -90.5761 122.947
8 -90.243 122.516
9 -89.8607 122.189
10 -89.4816 121.992
11 -89.1488 121.95
12 -88.8864 122.077
13 -88.6966 122.367
14 -88.5612 122.794
15 -88.4459 123.317
16 -88.3132 123.889
17 -88.1347 124.468
18 -87.9016 125.025
19 -87.629 125.549
20 -87.3529 126.046
21 -87.1215 126.535
22 -86.982 127.035
23 -86.9678 127.55
24 -87.0876 128.068
25 -87.323 128.561
26 -87.634 128.989
27 -87.9727 129.312
28 -88.2964 129.499
29 -88.5802 129.536
30 -88.8248 129.436
31 -89.0541 129.234
32 -89.3061 128.984
33 -89.6169 128.75
34 -90.0045 128.579
35 -90.4578 128.494
36 -90.9357 128.48
37 -91.3776 128.493
38 -91.7196 128.475
39 -91.9117 128.375
40 -91.9334 128.165
41 -91.7962 127.852
42 -91.5405 127.476
43 -91.2258 127.103
44 -90.9146 126.8
45 -90.6561 126.622
46 -90.4744 126.592
47 -90.3631 126.698
48 -90.2909 126.903
49 -90.2138 127.154
50 -90.0896 127.408
51 -89.8934 127.643
52 -89.6281 127.865
53 -89.3297 128.107
54 -89.0585 128.413
55 -88.8805 128.822
56 -88.8447 129.355
57 -88.9659 130.003
58 -89.2184 130.726
59 -89.5454 131.463
60 -89.8802 132.152
61 -90.1665 132.746
62 -90.3754 133.221
63 -90.5102 133.58
64 -90.6024 133.84
65 -90.704 134.035
66 -90.8693 134.2
67 -91.1373 134.355
68 -91.5181 134.501
69 -91.9887 134.613
70 -92.4991 134.652
71 -92.9843 134.573
72 -93.3804 134.339
73 -93.6358 133.934
74 -93.7204 133.362
75 -93.6333 132.652
76 -93.3993 131.844
77 -93.0618 130.981
78 -92.6733 130.11
79 -92.281 129.269
80 -91.9118 128.484
81 -91.5671 127.771
82 -91.2242 127.138
83 -90.8481 126.592
84 -90.4054 126.139
85 -89.878 125.786
86 -89.2728 125.539
87 -88.6234 125.406
88 -87.984 125.398
89 -87.4171 125.531
90 -86.9755 125.818
91 -86.6882 126.26
92 -86.5513 126.842
93 -86.5293 127.522
94 -86.5646 128.235
95 -86.5919 128.907
96 -86.5554 129.468
97 -86.4209 129.864
98 -86.1827 130.069
99 -85.8626 130.078
100 -85.5038 129.913
101 -85.1577 129.607
102 -84.8701 129.191
103 -84.6681 128.692
104 -84.5515 128.122
105 -84.4912 127.48
106 -84.439 126.753
107 -84.3437 125.925
108 -84.1691 124.992
109 -83.9077 123.97
110 -83.5869 122.902
111 -83.2646 121.861
112 -83.0117 120.934
113 -82.8934 120.211
114 -82.9464 119.759
115 -83.1624 119.593
116 -83.4918 119.679
117 -83.86 119.944
