1 -131.283 113.504
2 -130.882 113.518
3 -130.523 113.477
4 -130.232 113.389
5 -130.031 113.264
6 -129.932 113.104
7 -129.931 112.91
8 -130.014 112.678
9 -130.159 112.405
10 -130.342 112.091
11 -130.542 111.742
12 -130.743 111.373
13 -130.932 111.012
14 -131.094 110.691
15 -131.212 110.437
16 -131.269 110.271
17 -131.247 110.2
18 -131.133 110.221
19 -130.915 110.327
20 -130.588 110.513
21 -130.152 110.774
22 -129.609 111.115
23 -128.972 111.541
24 -128.26 112.052
25 -127.501 112.643
26 -126.727 113.302
27 -125.972 114.007
28 -125.266 114.731
29 -124.633 115.443
30 -124.087 116.12
31 -123.636 116.741
32 -123.282 117.291
33 -123.022 117.756
34 -122.851 118.119
35 -122.755 118.363
36 -122.715 118.472
37 -122.706 118.432
38 -122.709 118.234
39 -122.708 117.881
40 -122.701 117.391
41 -122.697 116.793
42 -122.715 116.126
43 -122.774 115.438
44 -122.886 114.778
45 -123.048 114.186
46 -123.243 113.688
47 -123.444 113.296
48 -123.617 113.009
49 -123.733 112.82
50 -123.767 112.718
51 -123.707 112.694
52 -123.543 112.743
53 -123.276 112.867
54 -122.913 113.07
55 -122.46 113.352
56 -121.925 113.706
57 -121.308 114.114
58 -120.607 114.544
59 -119.819 114.959
60 -118.941 115.325
61 -117.977 115.615
62 -116.935 115.821
63 -115.848 115.942
64 -114.762 115.991
65 -113.728 115.987
66 -112.796 115.948
67 -112.007 115.889
68 -111.395 115.821
69 -110.977 115.744
70 -110.759 115.656
71 -110.737 115.549
72 -110.899 115.416
73 -111.229 115.247
74 -111.707 115.032
75 -112.31 114.766
76 -113.014 114.445
77 -113.798 114.067
78 -114.64 113.637
79 -115.515 113.167
80 -116.403 112.666
81 -117.283 112.146
82 -118.132 111.615
83 -118.927 111.08
84 -119.639 110.544
85 -120.244 110.01
86 -120.724 109.482
87 -121.068 108.965
88 -121.276 108.47
89 -121.356 108.01
90 -121.323 107.603
91 -121.193 107.264
92 -120.983 107.004
93 -120.703 106.826
94 -120.359 106.724
95 -119.952 106.68
96 -119.477 106.671
97 -118.931 106.67
98 -118.314 106.659
99 -117.635 106.627
100 -116.913 106.572
101 -116.175 106.504
102 -115.455 106.436
103 -114.792 106.381
104 -114.227 106.348
105 -113.792 106.334
106 -113.505 106.327
107 -113.373 106.311
108 -113.392 106.264
109 -113.555 106.171
110 -113.848 106.021
111 -114.258 105.815
112 -114.776 105.559
113 -115.384 105.266
114 -116.061 104.951
115 -116.781 104.628
116 -117.513 104.303
117 -118.222 103.982
118 -118.875 103.666
119 -119.44 103.357
120 -119.892 103.061
121 -120.212 102.79
122 -120.396 102.56
123 -120.448 102.388
124 -120.384 102.292
125 -120.229 102.283
126 -120.01 102.361
127 -119.753 102.519
128 -119.471 102.743
129 -119.174 103.011
130 -118.858 103.301
131 -118.516 103.595
132 -118.137 103.876
133 -117.711 104.128
134 -117.234 104.338
135 -116.699 104.495
