-96.4886 -20.3301
-98.1064 -25.8623
-96.4756 -29.7828
-95.9697 -29.09
-94.2162 -29.7087
-102.771 -27.9326
-105.309 -28.4995
-102.198 -25.6031
-101.353 -23.4831
-102.687 -22.7921
-101.359 -26.7709
-98.2161 -29.9797
-96.9409 -31.7477
-95.5748 -29.1006
-92.2476 -30.7836
-102.479 -28.9128
-108.216 -29.2507
-98.268 -37.5103
-89.8234 -43.7152
-89.3095 -45.3543
-83.9915 -46.5038
-85.1278 -45.7418
-80.8241 -47.5418
-71.5516 -52.8597
-71.9295 -52.2526
-75.0013 -54.4312
-82.8344 -52.9319
-81.8256 -54.6368
-77.8008 -58.7013
-82.9027 -50.4068
-82.7559 -53.5361
-79.7902 -55.1059
-83.5925 -47.3773
-79.195 -49.8941
-77.9341 -49.4943
-77.045 -49.8343
-75.6838 -49.1303
-77.7617 -46.695
-75.8322 -51.0267
-72.6519 -52.2502
-71.5088 -50.4163
-69.0877 -54.806
-76.7841 -48.81
-76.128 -46.722
-63.4469 -58.7849
-65.6181 -48.898
-58.9686 -50.798
-53.9873 -54.5466
-66.288 -46.485
-64.6982 -45.6685
-61.135 -42.5875
-64.1698 -38.6585
-69.963 -36.6335
-70.2638 -32.8653
-65.5781 -34.4763
-69.6635 -31.1309
-65.715 -30.5519
-51.5598 -38.2362
-61.6194 -32.142
-63.7404 -30.2272
-51.1525 -38.8763
-53.2902 -35.6077
-61.203 -36.5049
-56.6754 -44.0796
-61.2077 -40.3185
-57.3734 -45.9162
-60.4423 -42.6344
-62.8898 -42.3244
-71.66 -36.6878
-78.3631 -32.4126
-68.722 -40.1979
-59.9984 -38.005
-63.605 -35.7088
-57.1617 -44.377
-60.42 -37.8365
-65.535 -34.9846
-65.6669 -42.3992
-68.7985 -37.522
-67.1902 -37.3818
-71.3878 -40.7751
-76.8694 -34.4659
-72.2893 -35.1596
-66.7814 -39.6585
-66.9409 -35.3147
-67.7945 -36.1846
-73.9403 -26.9542
-70.6495 -29.4457
-70.2568 -31.1981
-72.947 -22.998
-65.5942 -29.4982
-66.4641 -32.8497
-75.6145 -25.4023
-71.8844 -25.7334
-61.8268 -29.5492
-59.067 -34.0443
-71.3423 -24.163
-73.5772 -24.4554
-65.6433 -36.9029
-68.9438 -30.8511
-73.4512 -31.9189
-64.8233 -45.3314
-72.9249 -39.0172
-71.8929 -40.615
-64.5432 -46.8334
-66.7226 -45.3892
-67.6187 -49.1635
-67.1451 -53.7291
-66.3066 -54.5634
-63.5306 -56.6046
-71.287 -50.8411
-64.6281 -55.8094
-66.6887 -57.3216
-74.5561 -50.5107
-72.1697 -49.9388
-66.9395 -52.0582
-76.2592 -48.1327
-71.7223 -47.169
-68.9489 -46.1556
-68.7265 -46.493
-68.3992 -45.9958
-62.5046 -52.1383
-62.2252 -47.6039
-68.2886 -43.7415
-67.5499 -47.6131
-58.8381 -50.2407
-66.1388 -42.9693
-67.8708 -42.4041
-62.7144 -44.2058
-65.0763 -40.3376
-63.2114 -43.9164
-57.6574 -43.0796
-57.8571 -38.853
-59.7798 -42.391
-66.594 -35.7662
-66.4666 -34.569
-67.3469 -38.2054
-70.1571 -36.6261
-60.8396 -44.0033
-67.504 -38.5178
-74.7321 -32.4922
-68.6727 -42.4473
-65.3355 -41.1242
-65.7194 -40.5021
-61.6189 -50.6284
-67.9358 -40.8662
-63.1102 -44.5468
-66.1844 -46.6691
-67.314 -37.068
-60.1024 -45.0923
-58.6503 -48.8752
-62.4773 -39.6068
-63.5452 -42.2524
-66.766 -38.8176
-58.9995 -44.6737
-60.8275 -41.1613
-63.9893 -42.4563
-60.078 -46.0063
-61.107 -42.577
-62.9426 -49.6001
-65.875 -46.66
-64.7916 -41.6797
-54.7062 -51.1459
-62.5684 -41.5764
-59.3597 -42.3543
-51.4011 -40.8525
-58.9683 -34.2372
-60.5935 -43.0578
-57.8253 -33.5157
-57.495 -32.1622
-58.0392 -40.2504
-63.3806 -32.3705
-67.1122 -28.2289
-65.2366 -33.9051
-65.4501 -33.9235
-53.8164 -32.6732
-52.6454 -35.4211
-59.3286 -31.3788
-56.1131 -30.5739
-47.5987 -36.0833
-52.78 -32.3142
-57.5842 -29.2634
-54.0793 -37.7558
-57.9712 -39.4122
-62.8429 -34.0368
-63.2787 -36.2337
-63.3826 -39.8285
-69.3243 -42.2136
-71.7875 -40.5774
-72.3609 -35.9413
-74.9918 -41.8139
-75.05 -43.7839
-73.8009 -46.8393
-76.188 -43.942
-77.7494 -45.2374
-74.5861 -51.7688
-70.2009 -52.6583
-72.0995 -50.3368
-79.731 -45.1971
-75.5208 -48.9574
-70.6745 -51.9758
-71.6835 -43.9135
-67.5956 -50.4283
-68.3489 -48.3238
-72.9442 -36.1098
-68.9715 -44.5172
-69.7051 -34.3694
-61.0279 -34.8744
-59.5814 -38.5781
-67.2288 -31.2006
-67.3547 -33.1476
-59.629 -37.399
-51.7307 -39.4118
-46.9746 -45.9918
-55.459 -37.7318
-47.3479 -43.3167
-58.4582 -45.9287
-65.1155 -38.6102
-53.7171 -45.9805
-54.4237 -53.3442
-62.9071 -49.4345
-56.3422 -51.2943
-54.978 -50.5815
-61.9988 -49.7696
-64.4784 -51.3194
-63.0353 -50.9759
-56.3033 -54.1382
-66.4408 -48.476
-66.8557 -54.852
-62.5189 -51.7891
-76.425 -39.1239
-81.0002 -45.1447
-77.5741 -42.4942
-79.4557 -36.8906
-79.7025 -41.7559
-85.4619 -38.0837
-88.8567 -38.7216
-84.9771 -39.9867
-87.2844 -37.9358
-90.2441 -37.8278
-83.9271 -37.747
-86.8716 -36.4606
-93.6548 -31.3749
-97.1537 -27.8605
-96.8139 -29.1699
-96.6246 -33.0003
-100.319 -22.5021
-96.2996 -25.7702
-91.1447 -35.5751
-93.5908 -20.964
-95.1677 -18.3494
-91.2081 -29.4574
-87.4571 -23.532
-83.786 -18.5265
-74.1754 -31.6155
-73.7512 -27.29
-77.821 -20.2186
-73.0368 -29.1525
-64.5676 -34.007
-73.5447 -24.6319
-76.5309 -26.5414
-65.0484 -40.3498
-65.3504 -32.8701
-67.0524 -32.1753
-57.542 -44.836
-56.0931 -38.7527
-56.0381 -41.4488
-54.5249 -40.4777
-49.4612 -40.4729
-49.0312 -46.6187
-57.0616 -39.2929
-58.2573 -40.7782
-63.7554 -42.3271
-74.6415 -32.6312
-74.7332 -44.1503
-78.3701 -42.5347
-84.5508 -32.689
-79.9771 -40.2473
-79.2454 -44.3752
