-56.7272 148.688
-49.9083 148.179
-51.5344 153.03
-49.4833 151.859
-58.9574 154.139
-62.4898 157.146
-57.989 155.457
-62.7294 151.974
-63.7403 150.137
-52.9169 147.363
-58.7539 154.558
-65.9814 157.626
-54.3387 156.531
-47.3848 160.232
-48.2151 162.582
-40.7791 156.337
-34.9026 153.471
-35.1199 153.874
-40.5281 156.789
-46.5359 159.35
-48.3074 158.802
-54.4423 161.617
-59.6527 158.584
-58.3758 155.991
-52.0933 159.093
-54.8802 159.235
-59.7702 154.622
-50.7242 147.858
-53.2385 147.803
-67.7405 152.503
-66.7488 152.557
-57.4995 150.731
-64.537 153.646
-63.4035 149.145
-52.2828 144.107
-43.1511 142.614
-36.2043 139.433
-39.573 136.59
-47.7891 138.795
-42.1457 141.541
-42.8218 147.398
-43.5604 150.662
-42.542 148.803
-31.7346 143.568
-34.3454 144.466
-24.8496 143.118
-13.3734 139.492
-29.8436 143.232
-39.5066 152.085
-27.6544 150.827
-36.9156 148.532
-38.9755 147.436
-31.3618 148.983
-28.5407 145.029
-28.0339 140.854
-25.9962 141.989
-28.6911 146.776
-30.7319 147.145
-42.4649 149.476
-52.6816 156.788
-55.6136 160.44
-49.3767 156.142
-56.2232 155.832
-67.0765 158.39
-63.7852 161.403
-59.1091 161.078
-63.0037 157.654
-64.1002 155.455
-70.7911 160.91
-68.9309 163.662
-66.5038 166.468
-67.7208 165.062
-63.7574 160.221
-53.8101 159.254
-54.0665 164.842
-50.5838 168.944
-46.575 168.326
-53.4004 167.575
-51.1185 164.023
-40.7215 161.268
-52.1191 163.07
-56.7907 158.447
-49.7221 148.624
-51.9472 147.411
-59.7245 153.108
-57.2625 154.332
-61.4469 153.098
-64.135 148.998
-53.4608 147.351
-54.5768 147.684
-57.7489 147.749
-41.4806 145.489
-46.8192 150.462
-47.7893 154.313
-35.8492 154.052
-45.8063 157.21
-52.8664 158.44
-40.6893 157.486
-40.4234 160.878
-48.9372 160.859
-51.6023 160.56
-50.3625 161.737
-55.592 163.053
-56.7472 162.014
-63.6577 162.725
-73.8267 165.766
-71.4208 166.499
-68.1915 162.57
-76.4604 158.331
-72.5345 157.217
-66.329 159.065
-72.1809 158.854
-70.9996 158.138
-65.4197 159.407
-67.3657 162.329
-71.4351 167.993
-68.324 170.96
-66.1239 164.096
-69.2909 160.267
-62.3789 164.964
-67.3092 169.172
-78.8696 170.44
-82.4961 169.188
-84.5642 166.196
-87.3077 169.296
-90.5358 171.743
