     1	-20.3301
     2	-20.4706
     3	-20.7083
     4	-21.07
     5	-21.5698
     6	-22.1999
     7	-22.93
     8	-23.7106
     9	-24.4856
    10	-25.2104
    11	-25.8623
    12	-26.4454
    13	-26.9825
    14	-27.502
    15	-28.0213
    16	-28.5356
    17	-29.0144
    18	-29.4122
    19	-29.6846
    20	-29.806
    21	-29.7828
    22	-29.6534
    23	-29.4768
    24	-29.313
    25	-29.2051
    26	-29.167
    27	-29.1829
    28	-29.2159
    29	-29.2254
    30	-29.1841
    31	-29.0899
    32	-28.9684
    33	-28.864
    34	-28.8227
    35	-28.8763
    36	-29.0285
    37	-29.2504
    38	-29.4875
    39	-29.6753
    40	-29.7586
    41	-29.7089
    42	-29.533
    43	-29.2688
    44	-28.9712
    45	-28.6937
    46	-28.4716
    47	-28.3145
    48	-28.2078
    49	-28.1238
    50	-28.0363
    51	-27.9327
    52	-27.8209
    53	-27.7257
    54	-27.679
    55	-27.7052
    56	-27.8106
    57	-27.9788
    58	-28.174
    59	-28.3509
    60	-28.4683
    61	-28.4994
    62	-28.4363
    63	-28.2885
    64	-28.0747
    65	-27.814
    66	-27.5186
    67	-27.1931
    68	-26.8358
    69	-26.4457
    70	-26.0292
    71	-25.603
    72	-25.1928
    73	-24.8278
    74	-24.5315
    75	-24.314
    76	-24.1667
    77	-24.0634
    78	-23.9685
    79	-23.8488
    80	-23.6858
    81	-23.483
    82	-23.2637
    83	-23.0624
    84	-22.9108
    85	-22.8253
    86	-22.8008
    87	-22.8136
    88	-22.8325
    89	-22.8332
    90	-22.8123
    91	-22.7919
    92	-22.8153
    93	-22.9333
    94	-23.186
    95	-23.5883
    96	-24.1206
    97	-24.7326
    98	-25.3564
    99	-25.9266
   100	-26.4006
   101	-26.7706
   102	-27.0633
   103	-27.3272
   104	-27.6122
   105	-27.9507
   106	-28.3464
   107	-28.774
   108	-29.1891
   109	-29.5443
   110	-29.809
   111	-29.9802
   112	-30.0852
   113	-30.1713
   114	-30.2894
   115	-30.4761
   116	-30.7398
   117	-31.0556
   118	-31.3722
   119	-31.6266
   120	-31.7625
   121	-31.7475
   122	-31.5817
   123	-31.2959
   124	-30.9404
   125	-30.5684
   126	-30.222
   127	-29.924
   128	-29.6761
   129	-29.4657
   130	-29.277
   131	-29.1011
   132	-28.9438
   133	-28.8268
   134	-28.7804
   135	-28.8335
   136	-29.0024
   137	-29.2824
   138	-29.6472
   139	-30.0525
   140	-30.4473
   141	-30.7845
   142	-31.0304
   143	-31.1674
   144	-31.1921
   145	-31.1103
   146	-30.9298
   147	-30.6583
   148	-30.3043
   149	-29.8795
   150	-29.4052
   151	-28.9132
   152	-28.4437
   153	-28.0409
   154	-27.7445
   155	-27.5816
   156	-27.5633
   157	-27.6847
   158	-27.9302
   159	-28.2812
   160	-28.7232
   161	-29.251
   162	-29.8682
   163	-30.5807
   164	-31.3884
   165	-32.2798
   166	-33.2283
   167	-34.1921
   168	-35.1275
   169	-36.0002
   170	-36.7924
   171	-37.5104
   172	-38.1804
   173	-38.84
   174	-39.5229
   175	-40.2441
   176	-40.9924
   177	-41.7316
   178	-42.411
   179	-42.9827
   180	-43.4175
   181	-43.7153
   182	-43.9047
   183	-44.0328
   184	-44.1504
   185	-44.2957
   186	-44.485
   187	-44.709
   188	-44.9397
   189	-45.141
   190	-45.2831
   191	-45.3543
   192	-45.367
   193	-45.354
   194	-45.3585
   195	-45.4186
   196	-45.5541
   197	-45.7583
   198	-45.9996
   199	-46.2323
   200	-46.4109
   201	-46.5054
   202	-46.5092
   203	-46.4386
   204	-46.3242
   205	-46.1986
   206	-46.0863
   207	-45.9977
   208	-45.9299
   209	-45.8718
   210	-45.8111
   211	-45.7418
   212	-45.668
   213	-45.6048
   214	-45.5752
   215	-45.604
   216	-45.7116
   217	-45.9101
   218	-46.2012
   219	-46.578
   220	-47.0291
   221	-47.5421
   222	-48.1072
   223	-48.7148
   224	-49.3522
   225	-50.003
   226	-50.6444
   227	-51.2497
   228	-51.7915
   229	-52.2463
   230	-52.6024
   231	-52.8606
   232	-53.0321
   233	-53.1332
   234	-53.1782
   235	-53.1755
   236	-53.1259
   237	-53.0259
   238	-52.8739
   239	-52.6776
   240	-52.4585
   241	-52.2526
   242	-52.1033
   243	-52.0521
   244	-52.1276
   245	-52.3372
   246	-52.6632
   247	-53.065
   248	-53.4895
   249	-53.8828
   250	-54.2035
   251	-54.431
   252	-54.5656
   253	-54.6221
   254	-54.6202
   255	-54.5736
   256	-54.4827
   257	-54.3353
   258	-54.1128
   259	-53.8001
   260	-53.3984
   261	-52.932
   262	-52.4507
   263	-52.0214
   264	-51.714
   265	-51.5874
   266	-51.6765
   267	-51.9839
   268	-52.483
   269	-53.1274
   270	-53.8621
   271	-54.6382
   272	-55.4178
   273	-56.1773
   274	-56.902
   275	-57.5756
   276	-58.1745
   277	-58.6633
   278	-58.9992
   279	-59.1382
   280	-59.0446
   281	-58.6996
   282	-58.1088
   283	-57.3052
   284	-56.3451
   285	-55.2991
   286	-54.2399
   287	-53.2335
   288	-52.3269
   289	-51.5464
   290	-50.9048
   291	-50.4071
   292	-50.057
   293	-49.8614
   294	-49.829
   295	-49.966
   296	-50.2707
   297	-50.7313
   298	-51.3237
   299	-52.0142
   300	-52.7645
   301	-53.5345
   302	-54.2855
   303	-54.9792
   304	-55.5777
   305	-56.0463
   306	-56.3546
   307	-56.4805
   308	-56.412
   309	-56.1496
   310	-55.7058
   311	-55.1039
   312	-54.3753
   313	-53.5552
   314	-52.6789
   315	-51.7794
   316	-50.8854
   317	-50.021
   318	-49.2099
   319	-48.4785
   320	-47.8564
   321	-47.3764
   322	-47.0696
   323	-46.9576
   324	-47.0443
   325	-47.311
   326	-47.7162
   327	-48.2014
   328	-48.7051
   329	-49.1756
   330	-49.5768
   331	-49.8931
   332	-50.1262
   333	-50.2888
   334	-50.3954
   335	-50.4543
   336	-50.4642
   337	-50.4148
   338	-50.2932
   339	-50.0919
   340	-49.817
   341	-49.4925
   342	-49.1585
   343	-48.8641
   344	-48.6567
   345	-48.5693
   346	-48.6124
   347	-48.7727
   348	-49.0169
   349	-49.3015
   350	-49.5843
   351	-49.8341
   352	-50.0353
   353	-50.1862
   354	-50.2908
   355	-50.3518
   356	-50.3631
   357	-50.3092
   358	-50.1694
   359	-49.9264
   360	-49.5755
   361	-49.1301
   362	-48.6232
   363	-48.0987
   364	-47.603
   365	-47.1763
   366	-46.8457
   367	-46.6225
   368	-46.5051
   369	-46.4853
   370	-46.5511
   371	-46.6938
   372	-46.9094
   373	-47.1972
   374	-47.5559
   375	-47.9816
   376	-48.4639
   377	-48.9861
   378	-49.5259
   379	-50.0598
   380	-50.5656
   381	-51.0264
   382	-51.4308
   383	-51.7724
   384	-52.0494
   385	-52.2625
   386	-52.4131
   387	-52.5023
   388	-52.5302
   389	-52.4965
   390	-52.4021
   391	-52.2519
   392	-52.0559
   393	-51.8283
   394	-51.5848
   395	-51.3404
   396	-51.106
   397	-50.8894
   398	-50.6974
   399	-50.5405
   400	-50.4373
   401	-50.4144
   402	-50.502
   403	-50.7254
   404	-51.0943
   405	-51.5965
   406	-52.1959
   407	-52.8395
   408	-53.4683
   409	-54.0295
   410	-54.4829
   411	-54.8033
   412	-54.9762
   413	-54.9907
   414	-54.8354
   415	-54.4981
   416	-53.9685
   417	-53.2422
   418	-52.3284
   419	-51.2533
   420	-50.0606
   421	-48.8109
   422	-47.58
   423	-46.4481
   424	-45.4918
   425	-44.7777
   426	-44.3531
   427	-44.241
   428	-44.442
   429	-44.9399
   430	-45.7093
   431	-46.7214
   432	-47.9464
   433	-49.3494
   434	-50.8837
   435	-52.4865
   436	-54.0773
   437	-55.5642
   438	-56.8524
   439	-57.8563
   440	-58.5125
   441	-58.7866
   442	-58.6746
   443	-58.2021
   444	-57.4182
   445	-56.3886
   446	-55.1869
   447	-53.8854
   448	-52.5502
   449	-51.2395
   450	-50.0064
   451	-48.9025
   452	-47.9813
   453	-47.2919
   454	-46.8722
   455	-46.7447
   456	-46.9104
   457	-47.3466
   458	-48.0117
   459	-48.8507
   460	-49.8018
   461	-50.8027
   462	-51.7942
   463	-52.7245
   464	-53.5504
   465	-54.2364
   466	-54.7569
   467	-55.0944
   468	-55.2403
   469	-55.1939
   470	-54.9596
   471	-54.5477
   472	-53.9749
   473	-53.264
   474	-52.4424
   475	-51.5425
   476	-50.5995
   477	-49.6495
   478	-48.7294
   479	-47.8747
   480	-47.1185
   481	-46.488
   482	-46.0018
   483	-45.6651
   484	-45.4686
   485	-45.3872
   486	-45.3871
   487	-45.4325
   488	-45.4948
   489	-45.5575
   490	-45.6154
   491	-45.6704
   492	-45.7223
   493	-45.7617
   494	-45.7651
   495	-45.6967
   496	-45.5163
   497	-45.1907
   498	-44.7071
   499	-44.0811
   500	-43.3557
   501	-42.5928
   502	-41.8595
   503	-41.2114
   504	-40.6799
   505	-40.2678
   506	-39.952
   507	-39.6939
   508	-39.4536
   509	-39.2035
   510	-38.9356
   511	-38.6621
   512	-38.407
   513	-38.1955
   514	-38.0419
   515	-37.9417
   516	-37.8703
   517	-37.7884
   518	-37.652
   519	-37.424
   520	-37.0848
   521	-36.6377
   522	-36.1097
   523	-35.5438
   524	-34.989
   525	-34.4866
   526	-34.0611
   527	-33.7164
   528	-33.4404
   529	-33.2151
   530	-33.026
   531	-32.8714
   532	-32.7628
   533	-32.72
   534	-32.7619
   535	-32.8973
   536	-33.1201
   537	-33.4077
   538	-33.7262
   539	-34.0367
   540	-34.3012
   541	-34.4876
   542	-34.5726
   543	-34.5422
   544	-34.3926
   545	-34.1282
   546	-33.7614
   547	-33.3103
   548	-32.797
   549	-32.2462
   550	-31.6847
   551	-31.1388
   552	-30.6333
   553	-30.1897
   554	-29.8261
   555	-29.5564
   556	-29.3923
   557	-29.3445
   558	-29.4247
   559	-29.6457
   560	-30.0202
   561	-30.5576
   562	-31.2605
   563	-32.1155
   564	-33.0889
   565	-34.1271
   566	-35.1622
   567	-36.1227
   568	-36.9451
   569	-37.584
   570	-38.0164
   571	-38.24
   572	-38.2667
   573	-38.1134
   574	-37.7961
   575	-37.3248
   576	-36.7068
   577	-35.9505
   578	-35.075
   579	-34.1153
   580	-33.1196
   581	-32.1447
   582	-31.2472
   583	-30.4755
   584	-29.8631
   585	-29.4261
   586	-29.1656
   587	-29.0734
   588	-29.1389
   589	-29.3541
   590	-29.7167
   591	-30.2279
   592	-30.888
   593	-31.6896
   594	-32.6125
   595	-33.6219
   596	-34.6709
   597	-35.7085
   598	-36.6842
   599	-37.5547
   600	-38.2909
   601	-38.8761
   602	-39.3011
   603	-39.5611
   604	-39.6512
   605	-39.5636
   606	-39.2905
   607	-38.8299
   608	-38.1916
   609	-37.4044
   610	-36.52
   611	-35.6099
   612	-34.7568
   613	-34.0419
   614	-33.5316
   615	-33.2682
   616	-33.2669
   617	-33.5189
   618	-34.0003
   619	-34.6815
   620	-35.5314
   621	-36.5193
   622	-37.6116
   623	-38.7681
   624	-39.9389
   625	-41.0656
   626	-42.0866
   627	-42.9428
   628	-43.5888
   629	-43.9976
   630	-44.1619
   631	-44.0955
   632	-43.8302
   633	-43.411
   634	-42.8903
   635	-42.3219
   636	-41.7566
   637	-41.2386
   638	-40.807
   639	-40.4964
   640	-40.334
   641	-40.34
   642	-40.5243
   643	-40.8841
   644	-41.4012
   645	-42.0425
   646	-42.7637
   647	-43.5146
   648	-44.2475
   649	-44.921
   650	-45.5003
   651	-45.9562
   652	-46.2651
   653	-46.4071
   654	-46.368
   655	-46.1439
   656	-45.7462
   657	-45.2035
   658	-44.563
   659	-43.8859
   660	-43.2393
   661	-42.6848
   662	-42.2677
   663	-42.0087
   664	-41.9012
   665	-41.9141
   666	-42.0027
   667	-42.1208
   668	-42.2318
   669	-42.314
   670	-42.3594
   671	-42.3654
   672	-42.3261
   673	-42.2255
   674	-42.0356
   675	-41.7217
   676	-41.2516
   677	-40.6078
   678	-39.7944
   679	-38.8405
   680	-37.7991
   681	-36.7377
   682	-35.7243
   683	-34.817
   684	-34.054
   685	-33.4486
   686	-32.993
   687	-32.6674
   688	-32.4533
   689	-32.3443
   690	-32.3515
   691	-32.5011
   692	-32.8243
   693	-33.3431
   694	-34.058
   695	-34.9416
   696	-35.9404
   697	-36.9827
   698	-37.994
   699	-38.9102
   700	-39.6846
   701	-40.2925
   702	-40.7289
   703	-41.0019
   704	-41.1231
   705	-41.1026
   706	-40.9429
   707	-40.6397
   708	-40.1875
   709	-39.5877
   710	-38.8563
   711	-38.0289
   712	-37.1586
   713	-36.312
   714	-35.5575
   715	-34.9547
   716	-34.5467
   717	-34.3576
   718	-34.3939
   719	-34.6483
   720	-35.1037
   721	-35.7357
   722	-36.5129
   723	-37.3997
   724	-38.358
   725	-39.3501
   726	-40.342
   727	-41.3059
   728	-42.217
   729	-43.05
   730	-43.7778
   731	-44.3672
   732	-44.7789
   733	-44.97
   734	-44.9
   735	-44.5411
   736	-43.8865
   737	-42.9535
   738	-41.7903
   739	-40.4736
   740	-39.0949
   741	-37.7512
   742	-36.5275
   743	-35.4896
   744	-34.677
   745	-34.0974
   746	-33.7391
   747	-33.584
   748	-33.6193
   749	-33.8433
   750	-34.2639
   751	-34.8879
   752	-35.7065
   753	-36.6873
   754	-37.7719
   755	-38.8797
   756	-39.9229
   757	-40.8226
   758	-41.5233
   759	-41.9987
   760	-42.2501
   761	-42.3004
